mfk_part1_assi_stretchrightfingers,en,de
mfk_start,Not set yet.,Die Vorbereitung sind nun abgeschlossen. Als nächstes mache ich Ihnen einen vollständigen Mittelfingerknoten vor.
mfk_start,Not set yet.,"Ein vollständiger einfacher chirurgischer Knoten besteht aus drei Teilknoten, denn ein einziger Knoten wäre nicht fest genug."
tbd_2,Not set yet.,Das sind zwei Mittelfingerknoten und ein Zeigefingerknoten.
tbd_3,Not set yet.,In diesem Übungsmodul betrachten wir den Mittelfingerknoten. Diesen schauen wir uns nun auch an.
tbd_4,Not set yet.,Der Mittelfingerknoten besteht aus 12 Schritten. Schauen wir uns den Teilknoten in seiner Gesamtheit an.
tbd_5,Not set yet.,Während des gesamten Knotenvorgangs wollen wir den Faden unter Spannung halten.
tbd_6,Not set yet.,Es werden Mittel- Ring- und Kleinen Finger ausgestreckt.
tbd_7,Not set yet.,Die Hand wird dann eingedreht so dass die grüne Fadenhälfte auf deinem kleinen Finger ruh
tbd_8,Not set yet.,"Die Hand bewegt sich auf den roten Faden zu, so dass das rote Fahndende auf der Wurzel des Mittelfingers ruht."
tbd_9,Not set yet.,"Als nächsten wird der Mittelfinger gekrümmt, dabei die rote Fadenhälfte unter der grünen Fadenhälfte hindurch gezogen."
tbd_10,Not set yet.,Der Mittelfinger wird ausgestreckt und drückt die grüne Fadenhälfte nach unten
tbd_11,Not set yet.,Die grüne Fadenhälfte zwischen Daumen und Zeigefinger wird los gelassen.
tbd_12,Not set yet.,Mit Mittel- und Ringfinger wird der grüne Faden festgehalten und durch die Schlaufe hindurch gezogen.
tbd_13,Not set yet.,"Der Knoten wird mit dem Zeigefinger auf die Knotenbank gedrückt, um maximale Festigkeit zu gewährleisten"
tbd_14,Not set yet.,Fertig! Dies ist der erste Teilknoten den wir nun gemeinsam knüpfen möchten.